,grav
53063,1
243607,1
101998,1
94090,1
213918,1
154259,1
220553,1
218861,1
89342,1
24415,1
61284,1
174116,1
34663,1
31399,1
195295,1
199641,1
85918,1
148120,1
198156,1
196319,1
99289,1
197928,1
128200,1
85273,1
168084,1
238243,1
124405,1
93848,1
34707,1
17975,1
113158,1
110692,1
26728,1
179350,1
207131,1
237796,1
28322,1
156348,1
228315,1
247858,1
10726,1
131095,1
32162,1
212192,1
89703,1
52618,1
103304,1
196407,1
250507,1
4135,1
90085,1
151757,1
224785,1
188801,1
12236,1
255715,1
235398,1
7282,1
212722,1
253098,1
22416,1
235952,1
61109,1
208771,1
142813,1
259056,1
62713,1
41852,1
78175,1
111392,1
114663,1
74327,1
161114,1
246730,1
160467,1
199388,1
72187,1
76989,1
9355,1
232453,1
59404,1
150032,1
189693,1
5285,1
107267,1
96518,1
58378,1
72244,1
159587,1
203355,1
134213,1
154237,1
252768,1
262087,1
3738,1
144158,1
215348,1
112440,1
206853,1
227266,1
137193,1
154207,1
237748,1
232108,1
152810,1
25470,1
152959,1
94207,1
163066,1
43186,1
235370,1
134814,1
222751,1
144754,1
19033,1
163637,1
260668,1
255294,1
219003,1
42977,1
205121,1
50083,1
10194,1
92050,1
93478,1
107139,1
68514,1
104751,1
238188,1
137062,1
39108,1
174733,1
65116,1
131049,1
246180,1
137767,1
161798,1
155295,1
125338,1
67104,1
73651,1
78879,1
64297,1
26905,1
243589,1
7610,1
165258,1
88207,1
246869,1
241437,1
32514,1
249362,1
149412,1
207780,1
125945,1
48127,1
192153,1
194758,1
200030,1
180383,1
73298,1
11279,1
26355,1
22557,1
261401,1
182893,1
312,1
121104,1
130913,1
120892,1
48297,1
146557,1
112651,1
148758,1
111531,1
211173,1
171126,1
46083,1
124451,1
170639,1
157386,1
190463,1
206317,1
237498,1
96711,1
38406,1
10151,1
43076,1
135317,1
148452,1
86962,1
109922,1
168705,1
61152,1
7104,1
144022,1
21473,1
108998,1
40337,1
182041,1
159972,1
5042,1
28189,1
90931,1
191510,1
