,grav
201564,4
277867,3
22848,1
192706,1
91025,3
68786,2
239941,1
185533,1
151454,1
317904,4
324109,3
8239,4
177309,4
201344,1
211756,4
220365,3
107006,3
80077,4
301014,1
313289,1
134387,1
235709,3
119584,1
157428,4
18827,1
45126,4
53668,3
263792,1
279479,1
319319,1
99197,4
290968,1
252208,4
63348,1
36577,1
263422,1
46929,3
92337,4
7255,4
42446,4
58157,1
305831,1
288065,1
121488,4
244606,3
178643,4
242473,4
286410,4
176271,3
169458,1
314130,1
296488,4
289258,4
3906,1
272453,4
293668,4
124800,3
107148,3
221822,4
96504,4
103213,1
147695,4
18424,4
100108,4
206099,1
258889,1
31708,1
319556,4
13236,3
230191,2
290813,1
33912,4
188032,1
212030,3
118459,1
22473,1
280915,2
93236,4
253642,1
137618,1
145620,4
326026,1
188082,3
225257,1
291153,1
93991,4
252963,3
172394,1
298195,4
20901,3
161696,1
67503,4
98601,4
39942,1
140340,3
253588,4
246058,2
61053,3
167317,1
300395,4
58263,1
112198,1
258341,3
327641,1
190243,1
186004,1
136463,1
207830,4
151769,1
112460,4
115821,4
310921,1
131840,3
327284,1
53765,1
151801,4
12881,4
55895,4
7846,1
256129,1
86250,1
306146,3
265429,1
149356,1
235196,4
164961,4
55260,1
291852,1
1635,1
196852,3
62819,1
128876,4
185338,1
275394,1
58696,1
38168,1
49025,4
242398,4
110020,1
229757,4
20194,4
176184,1
261218,4
221594,4
293368,3
171760,4
25501,4
149223,1
210680,1
52480,1
189634,1
4900,1
73047,1
252082,3
146007,1
175383,4
170164,4
309038,4
18153,3
264893,1
54526,1
326134,1
254959,1
47585,3
192174,4
308194,1
18294,4
260682,4
246773,4
292290,3
93888,4
92702,4
79589,4
286283,1
114987,1
161572,4
249815,1
26680,1
236609,4
177895,1
151619,4
140369,1
249679,2
165899,4
5831,1
233638,1
302259,4
315222,1
77749,4
140854,3
256830,3
22801,1
301051,1
49744,4
169537,1
206337,1
53236,1
327513,1
243272,1
291040,1
308544,3
227989,3
279686,1
156197,4
51416,3
216641,4
148943,1
180022,4
124357,1
322012,1
137524,1
299066,1
304127,3
38559,1
109647,4
223472,1
181239,4
256471,1
107467,1
170478,1
176942,1
143133,1
40077,1
234044,1
205083,1
47505,4
232253,4
104741,1
208153,1
304130,4
14928,3
228398,1
180841,1
225755,1
259689,4
204213,1
292572,1
261034,4
59546,4
131217,1
12956,4
84899,4
284095,1
285661,1
192006,4
272925,1
229375,4
252998,1
46425,4
325859,2
271,1
175231,1
147315,3
273221,4
68752,4
254259,1
68062,3
221129,1
225686,4
80400,4
276209,1
189706,3
248360,4
127207,4
46629,1
142361,1
16297,4
2044,2
244815,4
83636,3
257212,3
169704,1
27366,4
282441,4
156973,4
301947,4
139513,4
13694,4
122041,3
24764,4
114772,1
284269,1
24145,3
232734,3
41493,1
171220,2
292604,4
202287,4
34907,1
232614,3
134231,4
70833,4
232621,4
24258,1
253811,1
42005,4
42186,2
228795,1
275360,1
236866,4
755,1
205196,4
22998,4
24146,3
177259,1
175203,1
280897,3
74321,3
224748,4
143401,4
231135,4
87586,1
186702,4
95812,1
19952,4
237145,1
252076,3
108562,4
240168,4
97579,1
56119,1
148419,1
117645,3
204876,1
311628,1
44223,4
44633,4
24811,1
128136,4
120129,4
117888,1
162623,4
213383,4
64658,4
250583,3
93690,4
4717,4
103051,4
321391,1
325167,1
209492,3
216635,1
311436,4
271608,4
139052,4
241887,1
256278,4
160329,3
314935,1
267569,1
282221,1
296434,2
302901,1
174903,1
322063,1
194012,3
286869,4
185307,4
256272,4
266603,4
123072,4
209601,4
247000,4
145387,4
142635,4
93432,4
250624,1
121809,4
215815,2
123811,4
292460,1
271751,1
2956,4
149548,4
37956,4
167790,4
326842,1
270955,4
121216,1
267685,1
212853,1
14381,4
298586,4
190597,4
10596,4
259768,4
62676,1
207498,4
147904,2
57402,1
138113,1
61436,3
34524,1
100569,2
219996,1
129828,4
129821,1
104963,4
262824,1
217557,1
90941,4
234898,3
110500,4
